fact_id,claim,verdict,topic,source,published_date,related_keywords,confidence,url
FC000001,Sample claim about entertainment #1,false,entertainment,PolitiFact,2024-01-19T00:00:00,['environment'],0.723,https://factcheck.example.com/1
FC000002,Sample claim about environment #2,true,environment,Snopes,2024-05-03T00:00:00,['science'],0.765,https://factcheck.example.com/2
FC000003,Sample claim about politics #3,false,politics,Snopes,2024-01-26T00:00:00,['education'],0.722,https://factcheck.example.com/3
FC000004,Sample claim about business #4,true,business,Reuters Fact Check,2024-01-22T00:00:00,"['entertainment', 'sports']",0.877,https://factcheck.example.com/4
FC000005,Sample claim about world_news #5,mixed,world_news,FactCheck.org,2024-02-07T00:00:00,"['technology', 'business']",0.726,https://factcheck.example.com/5
FC000006,Sample claim about health #6,true,health,Snopes,2024-06-16T00:00:00,['entertainment'],0.851,https://factcheck.example.com/6
FC000007,Sample claim about science #7,true,science,Snopes,2024-05-21T00:00:00,['politics'],0.795,https://factcheck.example.com/7
FC000008,Sample claim about health #8,false,health,Snopes,2024-05-03T00:00:00,['business'],0.933,https://factcheck.example.com/8
FC000009,Sample claim about technology #9,true,technology,FactCheck.org,2024-01-17T00:00:00,"['politics', 'health', 'entertainment']",0.631,https://factcheck.example.com/9
FC000010,Sample claim about education #10,mixed,education,PolitiFact,2024-06-17T00:00:00,"['education', 'world_news', 'technology']",0.696,https://factcheck.example.com/10
FC000011,Sample claim about science #11,true,science,Snopes,2024-04-21T00:00:00,"['sports', 'entertainment', 'education']",0.814,https://factcheck.example.com/11
FC000012,Sample claim about sports #12,true,sports,Snopes,2024-03-09T00:00:00,"['health', 'politics']",0.751,https://factcheck.example.com/12
FC000013,Sample claim about politics #13,mixed,politics,Reuters Fact Check,2024-02-19T00:00:00,['health'],0.671,https://factcheck.example.com/13
FC000014,Sample claim about education #14,true,education,PolitiFact,2024-02-09T00:00:00,"['entertainment', 'science']",0.977,https://factcheck.example.com/14
FC000015,Sample claim about entertainment #15,true,entertainment,AP Fact Check,2024-05-02T00:00:00,"['sports', 'health']",0.955,https://factcheck.example.com/15
FC000016,Sample claim about entertainment #16,true,entertainment,AP Fact Check,2024-01-30T00:00:00,['science'],0.433,https://factcheck.example.com/16
FC000017,Sample claim about politics #17,false,politics,AP Fact Check,2024-01-18T00:00:00,"['science', 'politics', 'world_news']",0.844,https://factcheck.example.com/17
FC000018,Sample claim about technology #18,mixed,technology,Reuters Fact Check,2024-04-27T00:00:00,"['science', 'technology']",0.88,https://factcheck.example.com/18
FC000019,Sample claim about environment #19,false,environment,Reuters Fact Check,2024-03-23T00:00:00,"['science', 'technology']",0.951,https://factcheck.example.com/19
FC000020,Sample claim about education #20,mixed,education,FactCheck.org,2024-03-10T00:00:00,"['sports', 'technology', 'education']",0.826,https://factcheck.example.com/20
FC000021,Sample claim about technology #21,unverified,technology,Snopes,2024-01-01T00:00:00,"['business', 'politics', 'world_news']",0.861,https://factcheck.example.com/21
FC000022,Sample claim about education #22,mixed,education,Snopes,2024-04-07T00:00:00,"['world_news', 'business']",0.674,https://factcheck.example.com/22
FC000023,Sample claim about sports #23,false,sports,AP Fact Check,2024-06-08T00:00:00,"['world_news', 'science', 'technology']",0.793,https://factcheck.example.com/23
FC000024,Sample claim about science #24,true,science,AP Fact Check,2024-05-02T00:00:00,"['environment', 'education', 'business']",0.678,https://factcheck.example.com/24
FC000025,Sample claim about environment #25,true,environment,FactCheck.org,2024-06-17T00:00:00,"['entertainment', 'business']",0.893,https://factcheck.example.com/25
FC000026,Sample claim about health #26,false,health,AP Fact Check,2024-05-31T00:00:00,['sports'],0.794,https://factcheck.example.com/26
FC000027,Sample claim about business #27,true,business,AP Fact Check,2024-01-30T00:00:00,"['sports', 'politics']",0.861,https://factcheck.example.com/27
FC000028,Sample claim about entertainment #28,mixed,entertainment,AP Fact Check,2024-05-28T00:00:00,['environment'],0.712,https://factcheck.example.com/28
FC000029,Sample claim about environment #29,true,environment,AP Fact Check,2024-05-10T00:00:00,"['environment', 'technology', 'health']",0.854,https://factcheck.example.com/29
FC000030,Sample claim about health #30,true,health,Reuters Fact Check,2024-06-14T00:00:00,"['politics', 'science', 'entertainment']",0.893,https://factcheck.example.com/30
FC000031,Sample claim about entertainment #31,false,entertainment,Snopes,2024-06-24T00:00:00,"['environment', 'world_news', 'health']",0.89,https://factcheck.example.com/31
FC000032,Sample claim about world_news #32,false,world_news,FactCheck.org,2024-04-22T00:00:00,"['business', 'entertainment']",0.723,https://factcheck.example.com/32
FC000033,Sample claim about science #33,unverified,science,Snopes,2024-02-19T00:00:00,['environment'],0.801,https://factcheck.example.com/33
